Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
2010,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,299,35.1,35.5
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,5,0,0
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,1840,215.7,268.3
2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,.,0,0
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,64,5.1,5.4
2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,5,0,0
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,152,17.8,18.6
2009,All Other Causes,M,Asian and Pacific Islander,220,43.1,56.1
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,437,72.8,81.8
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,12,0,0
2012,Septicemia (A40-A41),F,Other Race/ Ethnicity,.,0,0
2012,Certain Conditions originating in the Perinatal Period (P00-P96),M,Not Stated/Unknown,17,0,0
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,199,14,7.2
2014,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,11,0,0
2008,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,14,0,0
2014,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,165,13.8,20.4
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4220,316.4,260.2
2014,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,193,15.2,16.8
2014,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,8,0,0
2014,Septicemia (A40-A41),M,Not Stated/Unknown,8,0,0
2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113,9.6,9.6
2010,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1768,168.6,151.8
2009,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3236,240.5,205.6
2007,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,43,8.9,16.7
2011,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1918,183.2,163.3
2009,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1735,165.7,151.1
2013,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,18,0,0
2010,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,79,6.5,6.5
2007,All Other Causes,F,Hispanic,820,70.2,85.6
2009,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,35,6.9,6.7
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5,0,0
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,456,85.6,117.7
2011,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3222,241.6,206.1
2009,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Not Stated/Unknown,10,0,0
2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,30,6,6.3
2011,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,307,36,43.9
2009,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Hispanic,57,4.8,4.7
2013,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,8,0,0
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,.,0,0
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,4719,332.7,167.7
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Other Race/ Ethnicity,5,0,0
2010,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,138,12.1,12.9
2009,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,143,12.7,21.1
2013,Septicemia (A40-A41),F,White Non-Hispanic,135,9.5,5
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,4156,310.3,252.4
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,.,0,0
2014,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,563,39.7,20.4
2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,123,9.2,7.6
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,54,10.4,13.7
2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,5,0,0
2012,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,76,14.1,20.9
2010,All Other Causes,M,Hispanic,1167,102.1,150
2013,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,249,18.5,15.1
2010,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156,12.8,15.4
2008,All Other Causes,F,Black Non-Hispanic,1268,121,116.1
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,.,0,0
2008,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,30,5.6,7.9
2007,All Other Causes,M,White Non-Hispanic,1749,130.7,115.9
2010,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18,3.5,3.1
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,158,18.5,20.6
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86,0,0
2010,All Other Causes,F,Hispanic,1007,82.7,94.6
2011,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,.,0,0
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1354,118.5,215.5
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,146,17.2,18.1
2012,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,240,16.9,10.3
2012,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,8,0,0
2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,192,18.3,17.1
2012,Alzheimer's Disease (G30),F,White Non-Hispanic,222,15.7,7.2
2014,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,10,0,0
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,6297,438.3,226.2
2010,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,178,20.9,27.7
2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295,28,26.9
2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169,19.9,26.4
2008,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,6,0,0
2010,Viral Hepatitis (B15-B19),F,Not Stated/Unknown,.,0,0
2008,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,152,12.9,16.4
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,92,0,0
2013,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,233,19.7,33.1
2010,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,168,13.8,16.7
2012,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,214,20.5,17.4
2009,All Other Causes,F,Black Non-Hispanic,1305,124.6,117.3
2007,All Other Causes,M,Black Non-Hispanic,1163,136.5,162.4
